PEDIDO,TAMANHO,PREÇO,ESTOQUE
SUCO LATA DEL VALLE,LATA,5,1
ÁGUA,LATA,3,1
REFRIGERANTE: GUARANÁ e SODA,LATA,4,1
REFRIGERANTE: OUTROS,LATA,5,1
ÁGUA DE COCO,LATA,5,1
SKOL,LATA,5,1
"BRAHMA, ITAIPAVA",LATA,4,1
BRAHMA ZERO,LATA,5,1
BRAHMA,600 ML,9,1
BRAHMA EXTRA LAGER,600 ML,12,1
HEINEKEN,600 ML,13,1
ORIGINAL,600 ML,12,1
SERRA MALTE,600 ML,13,1
SKOL,600 ML,9,1
PETRA BOCK,600 ML,22,1
HEINEKEN,LONG NECK,8,1
"STELLA, BRAHMA EXTRA, BUDWEISER",LONG NECK,7,1
MALZIBIER,LONG NECK,7,1
PETRA (ESCURA),LONG NECK,7,1
DUVEL,LONG NECK,25,1
HOEGARD,LONG NECK,18,1
AMARULA,DOSE,15,1
CAMPARI,DOSE,8,1
CATUABA,DOSE,5,1
CONTINI,DOSE,7,1
CYNAR,DOSE,6,1
JURUPINGA,DOSE,7,1
PARATUDO,DOSE,5,1
RUM,DOSE,7,1
SAQUÊ,DOSE,9,1
STEINHAEGER,DOSE,7,1
TEQUILA,DOSE,12,1
WHISKEY JOHNNIE WALKER - RED,DOSE,18,1
VODKA SMIRNOFF,DOSE,10,1
DOMECQ,DOSE,8,1
DREHER,DOSE,5,1
ENERGÉTICO (TNT),LATA,8,1
ENERGÉTICO (RED BULL),LATA,10,1
SMIRNOFF ICE,LATA,9,1
CAIPIRINHA CACHAÇA (YPIOCA PRATA),320 ML,13,1
CAIPIRINHA RUM,320 ML,16,1
CAIPIRINHA SAQUÊ,320 ML,16,1
CAIPIRINHA VODKA,320 ML,16,1
VINHO TINTO SECO CABERNET ,GARRAFA,38,1
VINHO QUINTA DO MORGADO (SUAVE),GARRAFA,25,1
VINHO SUAVE,TAÇA,8,1