PEDIDO,PREÇO,ESTOQUE
CALDO DE FEIJÃO COM BACON (CUMBUCA),10,1
CALDO VERDE COM CALABRESA E BACON (CUMBUCA),10,1
CALDO DE ESCONDIDINHO: MANDIOCA COM CARNE SECA (CUMBUCA),13,1
CALDO MANDIOCA (CUMBUCA),10,1
CALDO DE MOCOTO (CUMBUCA),13,1
CALDO DE MOCOTÓ COM PEDAÇOS (CUMBUCA GRANDE),18,1
CALDO NA CANECA: FEIJÃO,7,1
CALDO NA CANECA: VERDE,7,1
CALDO NA CANECA: MOCOTO,8,1
BOLINHO DE BACALHAU (300 gr),20,1
BOLINHO DE MANDIOCA COM CARNE SECA,16,1
CALABRESA ACEBOLADA,25,1
CALABRESA C/ MANDIOCA FRITA,33,1
CAMARÃO EMPANADO (400 grs),35,1
CARNE SECA ACEBOLADA,32,1
CARNE SECA C/ MANDIOCA,40,1
CASADINHO (PORÇÃO DE MANJUBA),39,1
COXINHA CREMOSA (10 Unid),12,1
FILÉ MIGNON APERITIVO,35,1
FRANGO A PASSARINHO,28,1
FRANGO A PASSARINHO (só TULIPA),30,1
FRITAS,15,1
FRITAS COM CHEDAR E BACON,22,1
ISCA DE TILÁPIA (400 grs),25,1
APERITIVOS MANDIOCA FRITA,16,1
POLENTA FRITA,15,1
PROVOLONE A MILANESA,25,1
QUATRO QUEIJOS A MILANESA,25,1
TORRESMO APERITIVO (130 grs),15,1
ALHEIRA ACEBOLADA,20,1
BAIAO DE DOIS,45,1
ESCONDIDINHO BRÓCOLIS,29,1
ESCONDIDINHO BRÓCOLIS INDIVIDUAL,19,1
ESCONDIDINHO CARNE SECA,39,1
ESCONDIDINHO CARNE SECA INDIVIDUAL,25,1
ESCONDIDINHO FRANGO,29,1
ESCONDIDINHO FRANGO INDIVIDUAL,19,1
FAVA COM COSTELA,18,1
DOBRADINHA,18,1
FEIJAO DE CORDA COM CARNE SECA,18,1
PORÇÃO DE ARROZ,7,1
PORÇÃO DE ARROZ (meia porção),4,1
PORÇÃO DE AMENDOIM,4,1
PORÇÃO AZEITONA VERDE,5,1
PORÇÃO AZEITONA PRETA,8,1
OVO DE CODORNA (12 Unid),6,1
SALAME (100 grs),15,1
PASTEL LUA CHEIA - CARNE SECA COM QUEIJO,15,1
PASTEL LUA CHEIA - FRANGO COM CATUPIRY,11,1
PASTEL LUA CHEIA - PIZZA,10,1
PASTEL LUA CHEIA - QUEIJO,9,1
PASTEL MEIA LUA - CARNE SECA COM QUEIJO,8,1
PASTEL MEIA LUA - FRANGO COM CATUPIRY,6,1
PASTEL MEIA LUA - PIZZA,6,1
PASTEL MEIA LUA - QUEIJO,5,1
PORÇÃO DE PASTEIS,?,1